"","site_01","site_02","site_03","site_04","site_05","site_06","site_07","site_08","site_09","site_10","site_11","site_12","site_13","site_14","site_15","site_16","site_17","site_18","site_19","site_20","site_21","site_22","site_23","site_24","site_25","site_26","site_27","site_28","site_29","site_30"
"site_15",3.20810132321284,2.64072555181336,2.42168596023514,2.63380060369042,3.11637422656522,3.86288958423613,2.37319014198189,1.60927177630132,1.21210973100623,1.56042771380157,2.31540328236789,3.19196524573812,2.01876906059113,1.05034708549127,0,0.954227001294765,1.958486121983,2.96546624496048,2.39057547255886,1.65579173811201,1.30458606845237,1.59617659424012,2.32130113944744,3.18892387177869,3.25690087045952,2.76394756100763,2.55997578894801,2.72032976309858,3.21206126498235,3.89680424578911
"site_16",3.92044317520354,3.18566392609139,2.68742656085706,2.51654470455027,2.68746398859594,3.23717633903376,3.25565123746387,2.38158165931803,1.61038351022357,1.29494257015514,1.62869530913551,2.37613758019185,2.97043197026964,2.00229162960843,0.954227001294765,0,1.00717879246934,2.01370767491213,3.21267980352851,2.3328163086707,1.58532008124542,1.2208282147788,1.56251164795658,2.30695851934967,3.87500903869914,3.20106017594171,2.67958464132037,2.48130029017046,2.67245039991391,3.1876222015791
"site_17",4.70655096328511,3.86415185131226,3.17608111987084,2.66794069836644,2.45340148569287,2.68419588145128,4.18915929752021,3.25971878541693,2.34043370553408,1.60237164852602,1.2202791524893,1.59291688420959,3.97671691851457,3.0083,1.958486121983,1.00717879246934,0,1.00700961266514,4.17514550644645,3.24724071328259,2.37072473307215,1.6180927816414,1.25288620792153,1.55976647290548,4.71185726545276,3.9403863985655,3.22000197670747,2.71392038387275,2.51112112411966,2.71565338362612
"site_18",5.58468594014023,4.68654416921467,3.89859378237846,3.18597744028422,2.65711778624885,2.48516664431181,5.16141479247696,4.20962670554053,3.24064801081512,2.36610492159583,1.56885951251219,1.25129724686023,4.9837052009524,4.01530241077805,2.96546624496048,2.01370767491213,1.00700961266514,0,5.14459556816666,4.19136285353583,3.26281015690463,2.3800854795574,1.61748905715,1.21001939240658,5.58552049588935,4.75570329709497,3.91977405598843,3.22206782827426,2.69758332216078,2.52844523373555
"site_19",3.75993153794055,3.83478749476421,4.17474119916433,4.7712931129831,5.43086442935192,6.24067569498688,2.46415933332242,2.66217538114978,3.18336933609658,3.8934866251215,4.70584049984697,5.56405609245629,1.22445214279693,1.57718359425908,2.39057547255886,3.21267980352851,4.17514550644645,5.14459556816666,0,0.999438367284347,1.99102218973069,2.97340011602879,3.96643515640934,4.96724827746711,1.29487037575195,1.60454335248382,2.38337792429149,3.24777829446531,4.19669904806146,5.13434136964032
"site_20",3.91814312398105,3.73201865483012,3.83991141173856,4.24512352941584,4.77214394166815,5.49302782989491,2.69569390139163,2.51052348525163,2.70090157540033,3.21619760742402,3.90967472815834,4.70878154197028,1.59871998799039,1.26894526280687,1.65579173811201,2.3328163086707,3.24724071328259,4.19136285353583,0.999438367284347,0,0.991733900802025,1.97441786863875,2.96754367448905,3.96867698106057,1.6011424546242,1.25340068613353,1.61223343222996,2.34597817977917,3.24649189895801,4.16538164037823
"site_21",4.28348641295849,3.8664324706375,3.72489355552612,3.88636092122181,4.2302142085242,4.82249106271852,3.21035594599727,2.71603047111037,2.51582720591061,2.72314992976883,3.21396347987963,3.9118399609391,2.34922660677935,1.62869512493898,1.30458606845237,1.58532008124542,2.37072473307215,3.26281015690463,1.99102218973069,0.991733900802025,0,0.982840195555717,1.97594942496006,2.97726451125861,2.34114050197762,1.61584634479891,1.25583297058168,1.59114677198554,2.35666334040312,3.23126875700552
"site_22",4.80313427878089,4.20915617671761,3.84304957683348,3.73737263060562,3.84921478226404,4.26110563351814,3.89038872222301,3.20268707338073,2.68120152916561,2.51577024586905,2.68991613252161,3.2109950249105,3.2144899191007,2.35861169334844,1.59617659424012,1.2208282147788,1.6180927816414,2.3800854795574,2.97340011602879,1.97441786863875,0.982840195555717,0,0.993129850523083,1.99443748961957,3.22092101734892,2.37562616587711,1.6021543995508,1.26053579877765,1.61705766440161,2.36583525419671
"site_23",5.4656297496263,4.74806016179239,4.207434502164,3.85362533207368,3.70614819185634,3.87737872795527,4.69282866616713,3.89563733553317,3.1725795592861,2.69059928082946,2.47316003930195,2.6969740914588,4.14525574844303,3.23877047349762,2.32130113944744,1.56251164795658,1.25288620792153,1.61748905715,3.96643515640934,2.96754367448905,1.97594942496006,0.993129850523083,0,1.00154410786545,4.15439021036782,3.26311919794543,2.34660710388424,1.60492996731945,1.25880426198834,1.62523913625042
"site_24",6.20427008116184,5.40152085435204,4.7357703291017,4.18410627972092,3.79666746766161,3.69508633728632,5.55045829909567,4.68786825006847,3.84803201909755,3.16211264347113,2.61404713423458,2.46093024078294,5.09970107555335,4.16823644482892,3.18892387177869,2.30695851934967,1.55976647290548,1.21001939240658,4.96724827746711,3.96867698106057,2.97726451125861,1.99443748961957,1.00154410786545,0,5.12570410577903,4.21502154917386,3.24731057030275,2.37604074039146,1.61894292981562,1.31860018580311
"site_25",5.05470035709339,5.09258714603884,5.34711964051675,5.82888882206549,6.37318169205931,7.07899232518301,3.75902455033217,3.89275763566138,4.26206635330798,4.81732406736354,5.48391292782809,6.23942501918246,2.51920096062224,2.70896494624792,3.25690087045952,3.87500903869914,4.71185726545276,5.58552049588935,1.29487037575195,1.6011424546242,2.34114050197762,3.22092101734892,4.15439021036782,5.12570410577903,0,0.946644706318057,1.98620100694769,2.96931650384394,3.98484869599838,4.95440036432261
"site_26",5.13317916500097,4.98505681010758,5.06982772586998,5.397437771758,5.82258190496278,6.43821597183568,3.87494128084543,3.76322567088396,3.9021518422532,4.28882240364415,4.82975015502873,5.50959263920664,2.68334146913881,2.52167617270735,2.76394756100763,3.20106017594171,3.9403863985655,4.75570329709497,1.60454335248382,1.25340068613353,1.61584634479891,2.37562616587711,3.26311919794543,4.21502154917386,0.946644706318057,0,1.03966032914601,2.02270012112522,3.03821814391265,4.00781537124654
"site_27",5.43209548701051,5.09294973468225,4.9807265142748,5.10792557698328,5.36701013600683,5.84947557478446,4.2675345399891,3.91128570293708,3.77160089617128,3.91593658911888,4.2592622835416,4.81289811340319,3.21094752370698,2.7304717248124,2.55997578894801,2.67958464132037,3.22000197670747,3.91977405598843,2.38337792429149,1.61223343222996,1.25583297058168,1.6021543995508,2.34660710388424,3.24731057030275,1.98620100694769,1.03966032914601,0,0.983172019536764,1.99871780149175,2.96820000168452
"site_28",5.85281725325505,5.36007753861826,5.07203367989606,4.99781905234673,5.07431441083424,5.39801136716106,4.80149987087368,4.26517100360583,3.88545033940726,3.77621145197141,3.88045261535301,4.26403269804536,3.88926712119392,3.21983639646489,2.72032976309858,2.48130029017046,2.71392038387275,3.22206782827426,3.24777829446531,2.34597817977917,1.59114677198554,1.26053579877765,1.60492996731945,2.37604074039146,2.96931650384394,2.02270012112522,0.983172019536764,0,1.0155472859498,1.98513507097124
"site_29",6.41986895582768,5.80253515715329,5.35987425412201,5.08758753143374,4.96451702081884,5.09392670245656,5.48680725012279,4.81966262097255,4.24803083910651,3.89848783504579,3.73113345379122,3.88386014423795,4.70570603097984,3.92652125551359,3.21206126498235,2.67245039991391,2.51112112411966,2.69758332216078,4.19669904806146,3.24649189895801,2.35666334040312,1.61705766440161,1.25880426198834,1.61894292981562,3.98484869599838,3.03821814391265,1.99871780149175,1.0155472859498,0,0.969840564216614
"site_30",7.07788526397539,6.37326044109293,5.8161494083285,5.38350404940871,5.08199724222672,5.01360465633261,6.24450491552373,5.4951412811683,4.7978115438187,4.27232134091058,3.8720139113903,3.77951749566,5.560919777339,4.72443737708523,3.89680424578911,3.1876222015791,2.71565338362612,2.52844523373555,5.13434136964032,4.16538164037823,3.23126875700552,2.36583525419671,1.62523913625042,1.31860018580311,4.95440036432261,4.00781537124654,2.96820000168452,1.98513507097124,0.969840564216614,0
