"","R001","R002","R003","R004","R005","R006","R007","R008","R009","R010","R011","R012","R013","R014","R015","R016","R017","R018","R019","R020","R021","R022","R023","R024","R025","R026","R027","R028","R029","R031","R032","R033","R034","R035","R036","R037"
"R011",10.0862969187443,9.10005098382974,8.00351001243748,7.00029747284793,6.01346839306276,5.00333874068229,4.20955782205309,3.17210303683556,2.41143714170187,1.12176180937114,0,2.16468114342167,2.69590130321365,3.17991421655247,4.53751473003635,5.14842326016407,6.18182936361214,7.00917219680924,8.07430671144041,9.04801461850446,10.0120820807848,11.0220319343739,12.0454913528727,13.0685861975259,14.0371486442516,15.0050955499456,16.0231614735279,17.0067996432581,18.0165286184327,19.0027917062328,20.0166903640073,21.000936831875,22.0084692870983,23.0350016258322,24.0289577395413,25.034763948764
"R012",11.4662339094848,10.5196909971029,9.25483964751372,8.2123209360202,7.37510380277528,6.2464010014437,5.95336096177846,4.97046040613291,4.43552110813806,3.14576634641891,2.16468114342167,0,1.00626653053002,2.17920510428792,3.00822857132137,4.05951163216941,5.01859009591703,6.41800039307955,7.04867762544836,8.06089568789132,9.11260518732881,10.3366145117609,11.0346651695259,12.0141398506427,13.0310679780737,14.18943691836,15.037310403516,16.0645785594387,17.038737752245,18.139531482364,19.0319663848891,20.1118583969211,21.0407792077812,22.0096145196505,23.0119182930877,24.0075235889201
"R013",12.4000529218468,11.4430834759223,10.2069068137596,9.16726385540432,8.29963798099045,7.18613579497398,6.76242627241777,5.74946867687867,5.09448395224969,3.78997385911217,2.69590130321365,1.00626653053002,0,1.25197305893585,2.02777560035092,3.05563401805547,4.01273468914884,5.44907169684381,6.04243174452971,7.05470303119275,8.10752009276222,9.34191814778407,10.0289788108323,11.0100614570127,12.0257904275391,13.1846301923506,14.031959059341,15.0585709711282,16.0335163913113,17.1333475557092,18.0272308982402,19.105611849346,20.0358013877871,21.0068995915233,22.0089729451641,23.0051947943949
"R014",13.2144528707635,12.2376767008303,11.0755518854981,10.048876696034,9.1171239915268,8.04735034538748,7.38906747397299,6.35197748388383,5.5468949805965,4.29442810426032,3.17991421655247,2.17920510428792,1.25197305893585,0,1.47757248864298,2.00745569555414,3.03120825772543,4.24220531531395,5.00014787049116,6.00127188345339,7.02258219033884,8.18938331011562,9.000004076971,10.0039950421659,11.0000521917059,12.0867428967499,13.0014358859668,14.011744737151,15.0026672452594,16.0594162995697,17.0016547074808,18.0435453191057,19.0051856050036,20.0011547834556,21.0003713126518,22.0015889906064
"R015",14.4209291250652,13.4597744340085,12.2335869296304,11.1944947284578,10.3186350755736,9.21083335690562,8.71372379909291,7.68550583985122,6.94090439993638,5.6590699811173,4.53751473003635,3.00822857132137,2.02777560035092,1.47757248864298,0,1.35537912207696,2.10418653390599,3.90555141735404,4.13534053212227,5.14463474356801,6.22286928814968,7.55371111110854,8.0747712350725,9.03593535162404,10.0627077369847,11.2879227085368,12.0681778095217,13.1057254116242,14.0669352974693,15.2016658424624,16.0547660056217,17.1603687390993,18.0650517067698,19.02003785979,20.0231649527981,21.0161339732587
"R016",15.2141816692844,14.2344778396886,13.0822090025388,12.056202571006,11.1200457273508,10.0544058149268,9.35126548822286,8.31254043269172,7.45843138678656,6.24597764858437,5.14842326016407,4.05951163216941,3.05563401805547,2.00745569555414,1.35537912207696,0,1.03349780878843,2.55237858081658,3.00300902367175,4.0109667386781,5.05381810605547,6.30088965984267,7.0023505530296,8.00075404345595,9.00237418777505,10.1301005958388,11.006089769947,12.0231925318177,13.007985953344,14.0858745843802,15.0056036916209,16.0633903889822,17.0111854497062,18.000049166201,19.0000605622485,20.0002096105242
"R017",16.2439931920034,15.2653710679431,14.1059086732761,13.0777324648809,12.1480095787978,11.0772033422862,10.3845834573565,9.34585825746445,8.48764915509458,7.27916927184854,6.18182936361214,5.01859009591703,4.01273468914884,3.03120825772543,2.10418653390599,1.03349780878843,0,2.10011933160547,2.03870932464814,3.05134233554654,4.12227589020332,5.45651494449472,6.0162887249875,7.00163172719852,8.01366170369376,9.19411741471982,10.0196415650903,11.0460356589398,12.0213853867403,13.1259527676277,14.0160729717404,15.0945290060409,16.0240601898277,17.0014095612678,18.0026514763133,19.000755393045
"R018",17.0269783679876,16.0304289851339,15.0004916977071,14.0063887544237,13.0000737337447,12.0121985157886,11.0412196934696,10.0225663278038,9.0541516883857,8.00140273814503,7.00917219680924,6.41800039307955,5.44907169684381,4.24220531531395,3.90555141735404,2.55237858081658,2.10011933160547,0,1.76251216191388,2.3795893013493,3.11814167030173,4.01426289013398,5.19347397165604,6.23498740027456,7.13454275544181,8.00006623013478,9.08227003759019,10.0351619165968,11.0578907267967,12.0000446714492,13.053056804119,14.0009153874644,15.0312641876378,16.0825941966166,17.0694109951054,18.0779818197534
"R019",18.1605505230844,17.1740153054949,16.0551752367833,15.0352098105285,14.0796115165903,13.0318213156248,12.2385361910835,11.2031003750368,10.2934071974234,9.14132256746542,8.07430671144041,7.04867762544836,6.04243174452971,5.00014787049116,4.13534053212227,3.00300902367175,2.03870932464814,1.76251216191388,0,1.01303744428016,2.08840075813521,3.49315678856842,4.00027635932007,5.00596183111438,6.00043606915069,7.1555573243928,8.00335394042711,9.02078611954451,10.0051616436467,11.0910989914761,12.0031655837001,13.0639717507222,14.0083082879776,15.0010380263671,16.0002334230599,17.0015017185232
"R020",19.1324633987778,18.1433989392558,17.0400704189061,16.0234385589237,15.0591258102054,14.019975724718,13.1920025843679,12.1592623896446,11.2334260867797,10.1030308423346,9.04801461850446,8.06089568789132,7.05470303119275,6.00127188345339,5.14463474356801,4.0109667386781,3.05134233554654,2.3795893013493,1.01303744428016,0,1.09218907501324,2.57848728784522,3.00220266484446,4.02057635532369,5.00080388162533,6.14389529984223,7.00034674369855,8.01264785825607,9.00141035870108,10.0786448459319,11.0005870831159,12.0530173380919,13.003947427397,14.0040909788266,15.0020570989783,16.00470305173
"R021",20.0815823320486,19.0886389027702,18.0147451335654,17.0053664049913,16.0249547285663,15.0031816684864,14.1156676393526,13.0888351218419,12.1400878932913,11.0453610171873,10.0120820807848,9.11260518732881,8.10752009276222,7.02258219033884,6.22286928814968,5.05381810605547,4.12227589020332,3.11814167030173,2.08840075813521,1.09218907501324,0,1.55305943097686,2.07535365235662,3.116847411992,4.0348076095758,5.07732397456919,6.01136694698093,7.0000084102056,8.00489290851174,9.0370462165067,10.0052970297879,11.0216247881481,12.0005879393082,13.0232384939253,14.016875668235,15.0227883947917
"R022",21.0091511739169,20.0105322128667,19.0055566447499,18.0160832679056,17.0025473740666,16.0241436872737,15.0126053647416,14.0039858375168,13.016273621982,12.0014768616595,11.0220319343739,10.3366145117609,9.34191814778407,8.18938331011562,7.55371111110854,6.30088965984267,5.45651494449472,4.01426289013398,3.49315678856842,2.57848728784522,1.55305943097686,0,2.00899785845573,2.85235262209711,3.45665743056654,4.01165234076259,5.23704760823675,6.1144356704077,7.15229733221613,8.00859033325974,9.12642292449059,10.0124020484722,11.0773829364628,12.1599694939144,13.1346460728846,14.1443245441255
"R023",22.1264822127436,21.1357441896402,20.0411026745492,19.0253261741916,18.0581578703651,17.0218972562798,16.1727503342249,15.1430501314122,14.2030619673722,13.0925708643539,12.0454913528727,11.0346651695259,10.0289788108323,9.000004076971,8.0747712350725,7.0023505530296,6.0162887249875,5.19347397165604,4.00027635932007,3.00220266484446,2.07535365235662,2.00899785845573,0,1.04155347045749,2.00016025481601,3.32635868170686,4.00425997922161,5.03182241652506,6.0062676558116,7.13311144110429,8.00326634895309,9.08560050994559,10.0094728765958,11.0022701465783,12.000741987461,13.0028659082631
"R024",23.1525860061034,22.1629797824082,21.0589159801528,20.040447259522,19.0794514385165,18.0369790037707,17.2051153381134,16.1742520290675,15.2383019652331,14.1211041040445,13.0685861975259,12.0141398506427,11.0100614570127,10.0039950421659,9.03593535162404,8.00075404345595,7.00163172719852,6.23498740027456,5.00596183111438,4.02057635532369,3.116847411992,2.85235262209711,1.04155347045749,0,1.04891540669624,2.64320276908515,3.03751517531938,4.09062376368304,5.03188657613403,6.2261626314345,7.01927981643315,8.14602793178683,9.02928538952582,10.0002296414139,11.0011320073135,12.0000139160561
"R025",24.1135278747261,23.1214017528973,22.0359133012986,21.0217502612489,20.0505455526291,19.0184626222706,18.1504577204439,17.1233015997726,16.1742520290675,15.0777104950071,14.0371486442516,13.0310679780737,12.0257904275391,11.0000521917059,10.0627077369847,9.00237418777505,8.01366170369376,7.13454275544181,6.00043606915069,5.00080388162533,4.0348076095758,3.45665743056654,2.00016025481601,1.04891540669624,0,1.72989656136897,2.00633707181298,3.04815797298773,4.00774266693974,5.17807544433585,6.00344367251948,7.10533406047144,8.01050199113553,9.00343859408514,10.0012602593804,11.0040440888151
"R026",25.0171275940179,24.0189807834906,23.0005156078752,22.0047159736887,21.0000030035848,20.0082285321828,19.0222904844495,18.0113612002716,17.0268713530881,16.0004297251901,15.0050955499456,14.18943691836,13.1846301923506,12.0867428967499,11.2879227085368,10.1301005958388,9.19411741471982,8.00006623013478,7.1555573243928,6.14389529984223,5.07732397456919,4.01165234076259,3.32635868170686,2.64320276908515,1.72989656136897,0,1.60252832923254,2.18178355967826,3.21738679126077,4.00053291080081,5.14391844113767,6.00309209682661,7.07128334872035,8.17048816337586,9.13597121794806,10.1451313371865
"R027",26.091048783139,25.0972217040146,24.0251141145508,23.0137939319721,22.0362508752242,21.0109571602342,20.1176860697115,19.0939565585495,18.1349734385975,17.0550736982688,16.0231614735279,15.037310403516,14.031959059341,13.0014358859668,12.0681778095217,11.006089769947,10.0196415650903,9.08227003759019,8.00335394042711,7.00034674369855,6.01136694698093,5.23704760823675,4.00425997922161,3.03751517531938,2.00633707181298,1.60252832923254,0,1.06989215753016,2.00200885674339,3.22627160242002,4.0002417163621,5.1110390695247,6.00523583621106,7.01188880156496,8.00632188442537,9.01162789653573
"R028",27.0597639158843,26.0640821302261,25.0103047808916,24.0036108450991,23.0169479093686,22.0020197429565,21.0763624599652,20.0570357812738,19.0877432698841,18.0271577309989,17.0067996432581,16.0645785594387,15.0585709711282,14.011744737151,13.1057254116242,12.0231925318177,11.0460356589398,10.0351619165968,9.02078611954451,8.01264785825607,7.0000084102056,6.1144356704077,5.03182241652506,4.09062376368304,3.04815797298773,2.18178355967826,1.06989215753016,0,1.04139391061725,2.15652083795807,3.01879959159006,4.05725949833113,5.00168037592439,6.05158946905626,7.03475966975922,8.04377023125513
"R029",28.0777550584215,27.0828878941439,26.0195543092558,25.0099956762243,24.0286874219454,23.007535569295,22.0984090581202,21.0771903872273,20.1119185544836,19.043056232115,18.0165286184327,17.038737752245,16.0335163913113,15.0026672452594,14.0669352974693,13.007985953344,12.0213853867403,11.0578907267967,10.0051616436467,9.00141035870108,8.00489290851174,7.15229733221613,6.0062676558116,5.03188657613403,4.00774266693974,3.21738679126077,2.00200885674339,1.04139391061725,0,1.48459369929159,2.00052178434172,3.15289527067657,4.00324085825861,5.02472044670172,6.01384019727588,7.02136341370327
"R031",29.0169227904186,28.0185719960736,27.0001457344076,26.0029286341222,25.0001171294982,24.0053857105748,23.0211212601021,22.0112908988147,21.0248302200001,20.0008332078924,19.0027917062328,18.139531482364,17.1333475557092,16.0594162995697,15.2016658424624,14.0858745843802,13.1259527676277,12.0000446714492,11.0910989914761,10.0786448459319,9.0370462165067,8.00859033325974,7.13311144110429,6.2261626314345,5.17807544433585,4.00053291080081,3.22627160242002,2.15652083795807,1.48459369929159,0,1.51867412698036,2.00405077254793,3.14269324654781,4.30631018266592,5.22160508449157,6.22130667049466
"R032",30.0757913140322,29.0805497227707,28.0198403456714,27.0104901188835,26.0285836090976,25.0080503711326,24.094234262006,23.0741136612751,22.1062199978784,21.0417923474547,20.0166903640073,19.0319663848891,18.0272308982402,17.0016547074808,16.0547660056217,15.0056036916209,14.0160729717404,13.053056804119,12.0031655837001,11.0005870831159,10.0052970297879,9.12642292449059,8.00326634895309,7.01927981643315,6.00344367251948,5.14391844113767,4.0002417163621,3.01879959159006,2.00052178434172,1.51867412698036,0,1.42529433141872,2.01065686200269,3.03387785554506,4.01635420078671,5.02509907775949
"R033",31.0201613770094,30.0219319683798,29.0000257483313,28.0012341699201,27.0007697756859,26.002793101218,25.0247750638139,24.0144269243743,23.0286755178187,22.0021828293183,21.000936831875,20.1118583969211,19.105611849346,18.0435453191057,17.1603687390993,16.0633903889822,15.0945290060409,14.0009153874644,13.0639717507222,12.0530173380919,11.0216247881481,10.0124020484722,9.08560050994559,8.14602793178683,7.10533406047144,6.00309209682661,5.1110390695247,4.05725949833113,3.15289527067657,2.00405077254793,1.42529433141872,0,1.28618524747213,2.48077394164869,3.30121595998257,4.27808152846421
"R034",32.0579736275082,31.0616609193138,30.0119689935657,29.0051389811027,28.0183095834324,27.0033882101148,26.0709535909297,25.0538100440367,24.0797163558996,23.0271945624218,22.0084692870983,21.0407792077812,20.0358013877871,19.0051856050036,18.0650517067698,17.0111854497062,16.0240601898277,15.0312641876378,14.0083082879776,13.003947427397,12.0005879393082,11.0773829364628,10.0094728765958,9.02928538952582,8.01050199113553,7.07128334872035,6.00523583621106,5.00168037592439,4.00324085825861,3.14269324654781,2.01065686200269,1.28618524747213,0,1.19753856379137,2.07931568322787,3.08249409124701
"R035",33.1011652662064,32.1066757580518,31.0365779781643,30.0241840551529,29.0481376474403,28.0210766544867,27.1230818285596,26.1015341995326,25.1365589482579,24.0657441730357,23.0350016258322,22.0096145196505,21.0068995915233,20.0011547834556,19.02003785979,18.000049166201,17.0014095612678,16.0825941966166,15.0010380263671,14.0040909788266,13.0232384939253,12.1599694939144,11.0022701465783,10.0002296414139,9.00343859408514,8.17048816337586,7.01188880156496,6.05158946905626,5.02472044670172,4.30631018266592,3.03387785554506,2.48077394164869,1.19753856379137,0,1.00404575748709,2.00061235803697
"R036",34.0914879736181,33.096461944418,32.0313284246901,31.0200380430907,30.0416605960209,29.0171183702819,28.1105828738266,27.0902932914263,26.1224709111227,25.0568956110308,24.0289577395413,23.0119182930877,22.0089729451641,21.0003713126518,20.0231649527981,19.0000605622485,18.0026514763133,17.0694109951054,16.0002334230599,15.0020570989783,14.016875668235,13.1346460728846,12.000741987461,11.0011320073135,10.0012602593804,9.13597121794806,8.00632188442537,7.03475966975922,6.01384019727588,5.22160508449157,4.01635420078671,3.30121595998257,2.07931568322787,1.00404575748709,0,1.0096886744329
"R037",35.0990822926794,34.1042511613257,33.0366575227785,32.0245740940099,31.0477410714706,30.021504826731,29.1190575693116,28.0984024222419,27.1313115340693,26.064122159393,25.034763948764,24.0075235889201,23.0051947943949,22.0015889906064,21.0161339732587,20.0002096105242,19.000755393045,18.0779818197534,17.0015017185232,16.00470305173,15.0227883947917,14.1443245441255,13.0028659082631,12.0000139160561,11.0040440888151,10.1451313371865,9.01162789653573,8.04377023125513,7.02136341370327,6.22130667049466,5.02509907775949,4.27808152846421,3.08249409124701,2.00061235803697,1.0096886744329,0
